school_name,conf_abbr,srs_off,srs_def,off_rtg,def_rtg
Duke,ACC,14.05,16.26,130.24,85.97
Auburn,SEC,17.94,11.63,130.71,89.21
Houston,Big 12,7.47,20.97,125.53,82.59
Florida,SEC,17.80,10.18,128.17,89.09
Alabama,SEC,24.71,1.25,127.91,92.51
Tennessee,SEC,6.37,18.49,121.24,85.26
Texas Tech,Big 12,13.58,10.32,127.75,92.78
Gonzaga,WCC,17.27,6.35,125.02,92.14
Maryland,Big Ten,12.54,10.99,120.82,88.54
Arizona,Big 12,16.13,6.99,124.52,91.89
Iowa State,Big 12,12.56,10.47,121.37,88.81
Michigan State,Big Ten,9.96,12.51,120.38,88.67
St. John's (NY),Big East,10.70,11.06,115.58,85.11
Illinois,Big Ten,17.06,4.64,123.46,93.58
Kentucky,SEC,17.80,3.81,125.97,95.92
Wisconsin,Big Ten,12.09,8.85,123.23,93.58
Kansas,Big 12,9.94,10.76,118.46,88.60
Purdue,Big Ten,10.70,9.98,126.38,96.86
Missouri,SEC,15.21,5.18,126.58,97.90
Michigan,Big Ten,11.63,8.53,118.14,90.33
Texas A&M,SEC,7.28,12.76,118.09,89.13
Brigham Young,Big 12,13.60,6.20,124.47,96.27
Baylor,Big 12,10.09,9.33,124.06,96.17
Louisville,ACC,10.74,8.55,119.72,92.54
UCLA,Big Ten,5.89,13.33,119.73,92.18
Marquette,Big East,9.83,9.05,119.65,92.84
Clemson,ACC,7.07,11.44,120.60,93.10
Mississippi,SEC,9.72,8.20,118.67,93.14
Ohio State,Big Ten,11.15,6.72,119.91,95.10
Connecticut,Big East,8.78,9.05,123.71,98.00
Saint Mary's (CA),WCC,1.47,16.26,117.19,90.31
Mississippi State,SEC,11.49,6.04,120.68,95.85
Oregon,Big Ten,9.03,8.45,118.32,93.57
Georgia,SEC,6.72,10.51,117.42,93.21
North Carolina,ACC,14.01,3.15,120.72,96.47
Arkansas,SEC,8.29,8.35,114.72,91.83
Creighton,Big East,8.23,8.12,119.12,95.54
Texas,SEC,10.19,5.99,119.83,96.97
Xavier,Big East,10.13,5.43,118.13,96.18
Oklahoma,SEC,10.63,4.79,120.68,98.83
West Virginia,Big 12,1.38,13.90,112.31,90.55
Virginia Commonwealth,A-10,5.01,10.16,116.19,93.51
New Mexico,MWC,11.67,3.48,113.45,92.83
Vanderbilt,SEC,11.71,3.31,119.71,98.62
Southern Methodist,ACC,10.38,4.55,117.93,97.48
Indiana,Big Ten,6.93,7.66,114.94,94.36
Cincinnati,Big 12,2.63,11.95,113.51,92.94
Northwestern,Big Ten,4.40,10.11,115.25,94.58
Utah State,MWC,11.34,3.12,122.77,101.70
Colorado State,MWC,6.07,7.83,117.45,96.91
Boise State,MWC,5.16,8.72,118.50,98.10
San Diego State,MWC,1.59,12.18,111.05,90.83
Penn State,Big Ten,9.57,4.06,116.25,97.94
Pittsburgh,ACC,6.95,6.65,117.28,98.36
Villanova,Big East,4.91,8.42,120.82,101.09
Santa Clara,WCC,10.12,3.03,117.71,99.14
UC San Diego,Big West,3.96,9.07,114.52,95.34
Nebraska,Big Ten,6.59,6.38,114.21,96.02
Iowa,Big Ten,13.49,-0.61,122.09,104.68
Memphis,AAC,9.40,3.20,114.45,96.73
Southern California,Big Ten,9.16,3.29,118.07,100.75
Utah,Big 12,7.19,4.75,114.25,97.67
Kansas State,Big 12,3.43,7.86,112.42,96.59
Arizona State,Big 12,7.09,4.10,113.51,97.42
San Francisco,WCC,4.37,6.59,112.12,96.43
TCU,Big 12,0.73,10.16,109.33,93.66
UCF,Big 12,12.83,-2.14,116.25,100.09
Colorado,Big 12,3.53,6.99,110.84,95.82
Rutgers,Big Ten,9.60,0.85,115.75,101.39
Butler,Big East,7.17,3.16,117.21,102.59
Louisiana State,SEC,5.10,5.16,111.00,96.98
South Carolina,SEC,1.55,8.69,111.25,96.76
Wake Forest,ACC,1.07,8.83,108.55,94.37
Nevada,MWC,2.35,7.39,115.17,101.16
Dayton,A-10,5.69,3.58,116.52,102.96
Stanford,ACC,3.27,5.86,114.02,100.80
Drake,MVC,-4.82,13.85,114.23,98.76
McNeese State,Southland,2.26,6.62,114.20,100.77
Florida State,ACC,4.85,3.95,109.38,97.63
Oregon State,WCC,3.99,4.79,117.91,105.02
Georgetown,Big East,2.39,6.31,109.66,97.50
Minnesota,Big Ten,-0.20,8.71,111.07,99.36
Liberty,CUSA,1.25,6.97,111.96,99.26
Saint Joseph's,A-10,4.11,3.95,111.05,99.25
UC Irvine,Big West,2.36,5.69,106.63,95.52
North Texas,AAC,-5.61,13.44,111.67,98.57
George Mason,A-10,-1.76,9.47,106.98,95.31
Providence,Big East,3.16,4.36,112.26,101.33
Notre Dame,ACC,3.10,4.32,112.55,102.14
Georgia Tech,ACC,3.68,3.62,108.75,98.70
Nevada-Las Vegas,MWC,-0.24,7.27,109.55,99.40
Oklahoma State,Big 12,5.31,1.55,108.70,98.67
Yale,Ivy,5.20,1.58,113.76,103.98
Bradley,MVC,2.72,3.52,112.66,103.18
Washington,Big Ten,3.64,2.59,110.90,102.34
Virginia,ACC,-3.91,10.02,111.45,102.79
DePaul,Big East,4.27,1.70,111.21,103.26
NC State,ACC,-0.28,6.17,109.65,101.92
California,ACC,6.26,-0.41,111.44,103.26
Grand Canyon,WAC,5.31,0.50,107.66,100.21
High Point,Big South,5.84,-0.45,116.86,108.73
Northern Iowa,MVC,0.24,5.11,111.50,103.32
Syracuse,ACC,5.64,-0.32,111.37,104.28
Arkansas State,Sun Belt,4.69,0.53,109.58,102.30
Lipscomb,A-Sun,1.05,4.01,111.53,103.62
Washington State,WCC,7.74,-2.86,111.96,105.41
UAB,AAC,8.81,-4.40,115.86,109.20
Saint Louis,A-10,2.16,2.14,110.07,103.66
St. Bonaventure,A-10,-3.82,7.96,106.89,100.32
Florida Atlantic,AAC,6.33,-2.25,111.45,105.75
Loyola (IL),A-10,0.56,3.19,107.30,101.80
Troy,Sun Belt,-1.67,5.27,106.70,101.06
Akron,MAC,8.43,-4.89,111.63,106.94
George Washington,A-10,0.33,2.72,107.13,102.38
Virginia Tech,ACC,-0.81,3.80,107.88,104.22
Middle Tennessee,CUSA,2.92,0.04,107.91,103.57
Wichita State,AAC,1.93,0.85,106.25,102.39
Cal State Northridge,Big West,5.89,-3.24,107.22,103.93
South Dakota State,Summit,3.84,-1.36,109.42,106.28
UNC Wilmington,CAA,1.18,1.13,110.95,107.24
Utah Valley,WAC,0.29,2.00,105.39,102.33
Belmont,MVC,7.01,-4.97,111.83,108.69
Tulane,AAC,0.28,1.74,108.16,105.31
Illinois State,MVC,1.25,0.60,112.65,109.36
Duquesne,A-10,-2.71,4.51,105.83,102.91
Louisiana Tech,CUSA,-1.56,3.34,107.68,105.37
North Alabama,A-Sun,2.23,-0.61,111.29,108.16
Northern Colorado,Big Sky,5.13,-3.53,111.07,108.85
Rhode Island,A-10,4.62,-3.03,108.29,106.24
Samford,Southern,7.19,-5.62,110.61,108.24
Davidson,A-10,0.12,1.41,110.61,108.02
South Alabama,Sun Belt,-3.58,5.08,107.18,103.97
Loyola Marymount,WCC,-1.83,3.30,105.02,102.90
North Dakota State,Summit,3.93,-2.51,114.90,112.82
Jacksonville State,CUSA,-1.61,3.01,108.10,105.85
St. Thomas,Summit,4.82,-3.49,112.29,110.31
New Mexico State,CUSA,-4.79,5.96,104.55,102.05
Cornell,Ivy,8.17,-7.04,113.36,111.70
Chattanooga,Southern,3.89,-2.91,113.30,111.57
Kent State,MAC,-3.52,4.40,104.02,102.33
Murray State,MVC,-1.96,2.79,106.27,104.36
San Jose State,MWC,0.26,0.56,107.01,106.42
Kennesaw State,CUSA,2.44,-1.67,105.73,103.97
UC Santa Barbara,Big West,-1.21,1.98,107.92,106.93
Miami (FL),ACC,5.92,-5.27,114.74,113.95
Milwaukee,Horizon,1.35,-1.00,106.85,106.26
Seattle,WAC,-4.14,4.27,103.16,102.57
Boston College,ACC,0.74,-0.64,106.21,105.88
Temple,AAC,5.09,-5.01,108.95,108.81
Furman,Southern,-0.06,0.11,108.14,108.13
Seton Hall,Big East,-6.52,6.57,101.05,101.25
Robert Morris,Horizon,0.50,-0.55,105.08,105.03
Western Kentucky,CUSA,1.71,-1.92,103.30,103.08
UC Riverside,Big West,2.09,-2.35,107.47,107.77
Wofford,Southern,-0.95,0.67,110.63,110.69
Wyoming,MWC,-4.78,4.49,103.96,104.77
UTEP,CUSA,-0.33,0.03,105.03,105.07
College of Charleston,CAA,3.01,-3.34,105.18,105.78
East Carolina,AAC,0.24,-0.66,107.17,107.37
Illinois-Chicago,MVC,2.77,-3.36,106.18,107.03
California Baptist,WAC,-2.08,1.36,105.28,106.23
Miami (OH),MAC,2.01,-2.85,107.27,108.32
UNC Greensboro,Southern,-5.07,4.19,104.61,105.40
East Tennessee State,Southern,-3.94,3.02,105.54,106.21
Purdue Fort Wayne,Horizon,4.48,-5.49,108.65,110.43
Texas A&M-Corpus Christi,Southland,-0.74,-0.31,106.04,107.14
Omaha,Summit,2.04,-3.12,108.88,110.32
Montana,Big Sky,1.67,-2.82,109.20,110.78
Winthrop,Big South,6.58,-8.03,105.89,108.07
James Madison,Sun Belt,-0.81,-0.80,108.64,110.67
Bryant,AEC,4.05,-5.73,103.71,106.35
Towson,CAA,-4.99,3.30,104.65,106.87
Rice,AAC,-2.93,1.09,104.45,106.81
South Florida,AAC,-1.01,-0.84,103.11,105.44
Cleveland State,Horizon,-5.13,3.26,101.60,104.02
Cal Poly,Big West,9.94,-11.88,108.45,111.40
Florida Gulf Coast,A-Sun,-2.92,0.89,106.44,108.80
Marshall,Sun Belt,-0.24,-1.93,103.44,106.07
Southern Illinois,MVC,-0.28,-1.90,105.17,107.66
Lamar,Southland,-6.04,3.84,100.15,102.75
Nicholls State,Southland,-0.34,-1.87,103.69,106.57
UTSA,AAC,2.78,-5.11,107.10,110.09
Montana State,Big Sky,-3.30,0.91,104.40,107.81
Appalachian State,Sun Belt,-9.30,6.83,99.09,101.77
Massachusetts,A-10,1.27,-3.75,101.95,105.53
Radford,Big South,-4.10,1.61,108.15,111.16
Ohio,MAC,3.01,-5.54,105.27,109.06
Pepperdine,WCC,1.12,-3.70,105.32,109.48
Princeton,Ivy,-2.96,0.37,104.11,107.93
Sam Houston,CUSA,2.48,-5.06,108.69,112.08
Oakland,Horizon,-3.55,0.85,105.26,108.98
Valparaiso,MVC,0.22,-3.08,105.87,109.56
La Salle,A-10,-1.21,-1.84,103.24,107.27
Hawaii,Big West,-4.00,0.87,102.69,107.67
Indiana State,MVC,6.93,-10.06,108.27,111.83
Jacksonville,A-Sun,-4.71,1.47,100.44,104.62
Drexel,CAA,-6.56,3.20,102.41,106.84
Eastern Kentucky,A-Sun,1.87,-5.22,107.74,112.43
Texas State,Sun Belt,0.72,-4.23,107.41,112.17
Idaho State,Big Sky,-2.74,-0.88,105.00,110.28
Norfolk State,MEAC,-1.79,-1.84,104.92,110.11
Elon,CAA,-3.36,-0.32,105.83,110.86
Fordham,A-10,2.09,-5.95,105.23,110.85
Missouri State,MVC,-5.73,1.85,100.91,106.39
Youngstown State,Horizon,-2.28,-1.60,100.42,106.02
Portland State,Big Sky,-3.70,-0.36,99.47,105.29
Southeastern Louisiana,Southland,-3.05,-1.01,102.93,108.60
Central Connecticut State,NEC,-7.98,3.82,98.32,104.00
Northeastern,CAA,-3.38,-0.96,101.33,107.66
Central Michigan,MAC,-2.55,-1.80,103.07,108.94
South Carolina State,MEAC,-2.15,-2.21,100.05,106.54
Merrimack,MAAC,-9.25,4.88,97.33,103.40
Longwood,Big South,-0.35,-4.08,104.37,110.36
Dartmouth,Ivy,-2.13,-2.35,98.38,104.90
Southeast Missouri State,OVC,-2.98,-1.70,100.77,107.36
Hofstra,CAA,-9.88,5.15,96.46,103.43
Queens (NC),A-Sun,0.03,-4.80,104.39,110.66
Northern Kentucky,Horizon,-4.38,-0.41,101.91,109.21
Richmond,A-10,-5.50,0.61,102.65,110.11
Wright State,Horizon,1.17,-6.08,107.40,113.95
Brown,Ivy,-4.62,-0.30,100.30,107.50
Hampton,CAA,-5.21,0.28,102.05,108.62
Northwestern State,Southland,-7.35,2.29,100.71,108.15
Bucknell,Patriot,-0.88,-4.19,101.08,108.11
Charlotte,AAC,-3.15,-1.96,105.05,112.55
UNC Asheville,Big South,1.35,-6.47,106.78,113.83
Campbell,CAA,-6.08,0.90,100.84,108.27
UT Arlington,WAC,0.17,-5.40,105.62,112.81
Fresno State,MWC,1.11,-6.36,101.09,107.66
Kansas City,Summit,-8.61,3.28,99.50,106.93
Cal State Bakersfield,Big West,-2.39,-3.03,104.98,112.68
South Dakota,Summit,9.01,-14.45,107.60,115.23
Abilene Christian,WAC,-5.14,-0.33,96.75,104.68
Quinnipiac,MAAC,-0.64,-5.01,100.30,108.24
Tulsa,AAC,-4.18,-1.51,100.68,108.75
SIU Edwardsville,OVC,-6.55,0.71,99.03,106.98
Delaware,CAA,3.42,-9.29,107.20,115.98
UC Davis,Big West,-7.90,1.99,96.01,104.68
Toledo,MAC,3.07,-9.02,109.48,118.16
William & Mary,CAA,2.91,-8.90,106.17,114.07
Evansville,MVC,-7.66,1.63,96.55,105.16
Northern Arizona,Big Sky,-3.42,-2.61,102.48,111.36
Texas-Rio Grande Valley,Southland,0.73,-6.87,103.00,111.23
Maine,AEC,-7.70,1.42,98.13,106.83
Florida International,CUSA,-5.57,-0.86,94.95,104.28
Incarnate Word,Southland,-4.85,-1.62,103.92,113.22
Presbyterian,Big South,-5.75,-0.74,102.70,112.01
Little Rock,OVC,-7.81,1.09,97.16,106.08
Southern,SWAC,-5.96,-0.77,96.31,105.38
Pacific,WCC,-4.46,-2.37,100.83,110.69
American,Patriot,-7.84,0.83,101.04,111.14
North Dakota,Summit,1.06,-8.15,106.08,115.96
Portland,WCC,0.19,-7.28,103.66,113.48
Siena,MAAC,-3.66,-3.47,100.92,111.47
Manhattan,MAAC,0.39,-7.64,105.23,115.62
Massachusetts-Lowell,AEC,1.05,-8.38,106.23,116.46
Georgia State,Sun Belt,0.19,-7.56,104.24,114.50
Georgia Southern,Sun Belt,-1.14,-6.25,99.63,110.10
Colgate,Patriot,-3.31,-4.16,102.31,113.60
Harvard,Ivy,-6.63,-0.94,99.06,110.31
Idaho,Big Sky,-1.68,-5.91,105.48,116.76
Air Force,MWC,-8.45,0.69,99.03,111.05
Ball State,MAC,-3.68,-4.08,102.53,113.67
Mount St. Mary's,MAAC,-5.57,-2.23,97.50,108.74
Vermont,AEC,-12.46,4.67,96.52,107.51
Tennessee State,OVC,0.08,-7.95,100.68,111.46
Monmouth,CAA,-3.05,-4.83,101.79,112.81
Gardner-Webb,Big South,-2.31,-5.67,100.83,112.12
North Florida,A-Sun,6.26,-14.25,107.03,117.86
San Diego,WCC,-1.72,-6.34,99.30,110.20
Stephen F. Austin,Southland,-8.33,0.19,93.36,104.88
Houston Christian,Southland,-8.46,0.27,98.60,110.94
Iona,MAAC,-6.10,-2.21,96.11,107.80
Mercer,Southern,-1.80,-6.56,97.84,109.18
Eastern Washington,Big Sky,-4.58,-3.85,100.56,113.09
Marist,MAAC,-10.65,1.96,95.06,107.84
Sacred Heart,MAAC,-0.24,-8.50,101.42,113.95
Columbia,Ivy,1.56,-10.50,104.01,116.48
Eastern Michigan,MAC,-2.94,-6.20,102.03,114.98
Austin Peay,A-Sun,-5.96,-3.19,99.46,112.21
Jackson State,SWAC,-4.54,-4.61,98.02,110.12
Alabama State,SWAC,-4.58,-4.65,98.95,111.68
Weber State,Big Sky,-6.34,-2.96,99.77,113.55
Bowling Green State,MAC,-4.69,-4.69,97.41,110.35
Western Michigan,MAC,-4.38,-5.05,99.93,113.24
Albany (NY),AEC,-3.06,-6.39,101.06,114.41
Old Dominion,Sun Belt,-7.00,-2.56,97.98,111.30
Navy,Patriot,-5.51,-4.09,99.57,113.46
Long Beach State,Big West,-7.59,-2.22,99.34,114.03
Southern Mississippi,Sun Belt,-3.74,-6.12,95.65,109.18
Utah Tech,WAC,-4.44,-5.45,99.86,113.55
Lafayette,Patriot,-8.26,-1.64,96.14,110.25
Tarleton State,WAC,-12.76,2.80,92.01,106.37
Bethune-Cookman,SWAC,-6.63,-3.38,95.42,109.65
Lehigh,Patriot,-6.02,-4.02,97.82,112.97
Texas Southern,SWAC,-6.15,-3.90,93.63,107.23
Denver,Summit,-6.17,-3.88,97.45,111.79
Pennsylvania,Ivy,-3.98,-6.28,100.20,115.16
Southern Utah,WAC,-6.18,-4.09,95.79,109.81
Saint Peter's,MAAC,-12.79,2.42,92.48,107.76
Louisiana,Sun Belt,-7.93,-2.72,96.54,111.97
Long Island University,NEC,-11.34,0.64,92.54,107.19
Boston University,Patriot,-10.65,-0.12,95.84,111.72
Charleston Southern,Big South,-5.61,-5.21,96.92,111.84
Tennessee Tech,OVC,-4.95,-5.91,98.15,113.64
Tennessee-Martin,OVC,-5.35,-5.64,98.71,114.64
VMI,Southern,-5.75,-5.37,97.95,113.80
Maryland-Baltimore County,AEC,1.77,-13.01,103.41,119.42
Oral Roberts,Summit,-3.37,-8.04,101.40,117.96
IU Indy,Horizon,-2.84,-8.67,107.09,123.96
Loyola (MD),Patriot,-7.35,-4.24,97.64,114.50
FDU,NEC,-4.44,-7.30,96.43,113.02
Howard,MEAC,-0.94,-10.83,101.73,118.30
Rider,MAAC,-8.39,-3.43,98.99,116.78
Delaware State,MEAC,-2.39,-9.61,97.97,114.96
Coastal Carolina,Sun Belt,-9.67,-2.36,99.01,116.98
Holy Cross,Patriot,-6.43,-5.84,99.55,117.69
Grambling,SWAC,-12.77,0.45,93.83,111.20
